dependents,education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
5, Not Graduate, Yes,2200000,6700000,6,382, Rejected
3, Not Graduate, Yes,2900000,8500000,12,564, Approved
0, Graduate, No,200000,700000,8,501, Rejected
2, Not Graduate, Yes,2500000,9400000,10,727, Approved
4, Not Graduate, No,3600000,7500000,6,894, Approved
0, Graduate, Yes,5500000,16700000,18,829, Approved
4, Not Graduate, No,6600000,17400000,20,506, Rejected
2, Graduate, Yes,8600000,32100000,6,802, Approved
5, Not Graduate, No,600000,1500000,14,543, Rejected
3, Graduate, Yes,1400000,3200000,20,772, Approved
3, Graduate, No,4000000,11100000,12,572, Approved
0, Not Graduate, Yes,4900000,11900000,16,709, Approved
5, Graduate, No,2000000,6200000,18,402, Rejected
1, Not Graduate, Yes,5200000,19300000,8,481, Rejected
5, Graduate, Yes,8900000,28800000,6,772, Approved
1, Graduate, Yes,6500000,20600000,2,306, Approved
2, Not Graduate, No,1300000,4500000,6,415, Rejected
3, Not Graduate, No,9400000,35000000,16,548, Rejected
5, Not Graduate, No,5000000,11200000,8,701, Approved
2, Graduate, No,3000000,7700000,12,890, Approved
5, Not Graduate, Yes,9900000,33300000,6,364, Rejected
5, Graduate, Yes,700000,1300000,20,704, Approved
3, Graduate, Yes,4000000,10600000,10,318, Rejected
5, Not Graduate, No,3100000,9600000,2,761, Approved
4, Not Graduate, No,4500000,15100000,6,693, Approved
3, Not Graduate, No,9700000,20600000,16,524, Rejected
2, Not Graduate, Yes,2000000,5300000,10,681, Approved
2, Graduate, Yes,8100000,22300000,18,737, Approved
0, Not Graduate, No,5700000,15900000,16,638, Approved
4, Not Graduate, No,5800000,12800000,2,656, Approved
1, Graduate, No,1800000,6500000,6,540, Rejected
4, Not Graduate, Yes,9100000,35200000,6,341, Rejected
0, Not Graduate, Yes,4800000,17500000,2,371, Approved
3, Not Graduate, Yes,3800000,10500000,12,886, Approved
0, Not Graduate, No,1900000,4100000,18,801, Approved
3, Not Graduate, Yes,3600000,9500000,16,748, Approved
2, Not Graduate, Yes,7400000,28200000,8,376, Rejected
4, Not Graduate, Yes,6600000,14300000,8,371, Rejected
2, Graduate, No,1800000,5300000,6,826, Approved
4, Not Graduate, No,9200000,27200000,12,873, Approved
5, Not Graduate, Yes,2400000,8600000,8,309, Rejected
4, Not Graduate, No,5600000,13300000,20,869, Approved
5, Graduate, No,3800000,13900000,12,534, Rejected
3, Not Graduate, Yes,4500000,17900000,6,787, Approved
0, Graduate, Yes,900000,2200000,16,566, Approved
0, Not Graduate, No,2800000,9900000,8,742, Approved
2, Not Graduate, No,7500000,23100000,4,824, Approved
4, Graduate, No,1400000,3100000,14,575, Approved
2, Graduate, Yes,3800000,10900000,10,766, Approved
1, Not Graduate, Yes,1700000,5000000,10,888, Approved
3, Graduate, Yes,9000000,30400000,6,638, Approved
5, Not Graduate, Yes,7300000,23300000,6,622, Approved
1, Not Graduate, No,7400000,19800000,18,458, Rejected
1, Not Graduate, No,9000000,28200000,16,327, Rejected
0, Not Graduate, No,3000000,6500000,2,612, Approved
1, Graduate, No,800000,2900000,8,682, Approved
2, Graduate, No,4800000,13200000,2,583, Approved
5, Not Graduate, No,6400000,18300000,8,697, Approved
3, Graduate, No,9200000,27100000,12,306, Rejected
4, Not Graduate, Yes,400000,1500000,2,669, Approved
2, Not Graduate, No,2800000,6000000,18,816, Approved
4, Not Graduate, Yes,8500000,28900000,20,455, Rejected
3, Graduate, Yes,4700000,16400000,10,318, Rejected
4, Not Graduate, Yes,9800000,21200000,20,355, Rejected
2, Not Graduate, Yes,3800000,8900000,16,389, Rejected
2, Graduate, No,500000,1500000,2,888, Approved
2, Graduate, Yes,6900000,15600000,6,352, Rejected
4, Not Graduate, Yes,9600000,30100000,12,870, Approved
3, Not Graduate, No,2900000,6500000,18,827, Approved
2, Graduate, No,9800000,20900000,12,768, Approved
0, Graduate, No,7100000,15400000,18,707, Approved
1, Not Graduate, Yes,7700000,19100000,10,355, Rejected
3, Graduate, No,1400000,3300000,2,652, Approved
3, Graduate, No,7800000,15900000,2,665, Approved
5, Not Graduate, Yes,1700000,6000000,18,420, Rejected
2, Not Graduate, No,8500000,32700000,18,471, Rejected
5, Not Graduate, No,1900000,7500000,20,715, Approved
2, Not Graduate, Yes,6700000,15200000,10,689, Approved
3, Graduate, Yes,6900000,16400000,4,787, Approved
2, Graduate, No,2600000,7800000,4,819, Approved
4, Graduate, Yes,9600000,21100000,6,809, Approved
1, Not Graduate, Yes,6800000,17000000,2,744, Approved
0, Not Graduate, No,3200000,11300000,6,484, Rejected
4, Not Graduate, No,2900000,10400000,6,673, Approved
3, Graduate, Yes,7900000,21200000,18,695, Approved
4, Not Graduate, Yes,3900000,12400000,12,473, Rejected
4, Graduate, Yes,4600000,11000000,2,491, Rejected
3, Not Graduate, Yes,700000,1700000,8,733, Approved
0, Not Graduate, No,5200000,15600000,20,434, Rejected
3, Not Graduate, Yes,5900000,20600000,10,777, Approved
4, Graduate, No,7200000,19100000,4,774, Approved
1, Not Graduate, Yes,8700000,27000000,10,717, Approved
3, Not Graduate, Yes,1100000,3500000,12,503, Rejected
1, Graduate, Yes,4000000,10900000,14,598, Approved
2, Graduate, No,9800000,32400000,2,543, Approved
0, Not Graduate, Yes,2700000,6800000,20,796, Approved
3, Not Graduate, Yes,8800000,34600000,8,386, Rejected
5, Not Graduate, Yes,3300000,7800000,16,632, Approved
1, Graduate, Yes,6900000,23400000,4,481, Approved
3, Graduate, Yes,900000,3500000,4,770, Rejected
3, Graduate, Yes,4100000,15500000,6,667, Approved
3, Not Graduate, Yes,4700000,17500000,8,585, Approved
5, Graduate, Yes,3400000,11600000,16,479, Rejected
2, Graduate, No,9600000,22500000,18,851, Approved
3, Not Graduate, Yes,7000000,16200000,6,378, Rejected
5, Graduate, No,5700000,12900000,18,807, Approved
1, Not Graduate, Yes,8200000,32400000,18,831, Approved
2, Not Graduate, No,2100000,5100000,12,674, Approved
1, Not Graduate, Yes,8000000,28100000,18,725, Approved
2, Not Graduate, No,8000000,29300000,4,600, Approved
0, Not Graduate, Yes,9400000,27000000,10,536, Rejected
0, Graduate, No,8400000,20600000,10,477, Rejected
1, Not Graduate, Yes,1900000,5000000,6,560, Approved
0, Not Graduate, Yes,4200000,16400000,20,539, Rejected
5, Graduate, No,2600000,9100000,8,852, Approved
3, Not Graduate, No,3700000,8500000,20,853, Approved
0, Graduate, No,8800000,30900000,12,729, Approved
2, Not Graduate, No,2100000,4700000,2,546, Rejected
3, Graduate, Yes,900000,2400000,10,489, Rejected
3, Graduate, Yes,9800000,35400000,6,869, Approved
2, Not Graduate, No,8000000,20000000,2,502, Rejected
0, Graduate, No,9800000,38800000,8,652, Approved
0, Not Graduate, Yes,300000,1100000,8,789, Approved
4, Not Graduate, No,2700000,8100000,4,325, Approved
3, Graduate, Yes,7400000,19600000,2,716, Approved
3, Graduate, No,9200000,34300000,18,523, Rejected
5, Not Graduate, No,9500000,22200000,20,352, Rejected
5, Graduate, Yes,3800000,14400000,2,345, Approved
0, Graduate, No,8300000,19400000,18,649, Approved
2, Graduate, Yes,2800000,7400000,18,666, Approved
0, Graduate, No,8600000,20900000,10,813, Approved
0, Not Graduate, No,5400000,16800000,10,599, Approved
5, Graduate, Yes,4200000,9400000,6,678, Approved
5, Not Graduate, No,5200000,12200000,20,513, Rejected
5, Graduate, No,9400000,27900000,4,870, Approved
3, Graduate, No,8800000,20400000,8,483, Rejected
1, Graduate, Yes,5900000,16700000,16,308, Rejected
3, Graduate, Yes,1700000,4900000,16,591, Approved
1, Not Graduate, No,7000000,23000000,10,886, Approved
4, Not Graduate, No,1700000,4000000,6,829, Approved
0, Not Graduate, No,1500000,4900000,12,651, Approved
4, Not Graduate, No,2000000,4700000,18,733, Approved
5, Graduate, Yes,3900000,15500000,12,433, Rejected
1, Graduate, Yes,900000,3600000,14,713, Approved
1, Graduate, No,6900000,22500000,18,403, Rejected
0, Graduate, Yes,2800000,7800000,10,405, Rejected
3, Graduate, Yes,6800000,19900000,10,516, Rejected
4, Not Graduate, Yes,600000,1800000,8,417, Rejected
1, Not Graduate, No,4700000,14000000,6,468, Rejected
5, Graduate, Yes,3000000,11800000,10,672, Approved
5, Not Graduate, No,4000000,13900000,6,530, Rejected
1, Not Graduate, Yes,3100000,11300000,14,824, Approved
1, Not Graduate, Yes,7700000,25500000,12,549, Rejected
5, Not Graduate, Yes,4300000,9300000,10,450, Rejected
1, Graduate, Yes,5800000,19500000,20,431, Rejected
3, Graduate, Yes,3600000,10700000,16,312, Rejected
0, Not Graduate, Yes,2900000,7600000,8,320, Rejected
0, Graduate, No,8800000,20200000,4,433, Rejected
1, Not Graduate, Yes,300000,1000000,10,431, Rejected
5, Not Graduate, Yes,8600000,28900000,8,516, Rejected
2, Not Graduate, Yes,3500000,12000000,14,476, Rejected
5, Graduate, No,800000,2600000,6,560, Approved
2, Graduate, No,8000000,27100000,12,674, Approved
0, Not Graduate, Yes,9900000,38200000,6,573, Approved
2, Not Graduate, No,3300000,6600000,6,331, Rejected
4, Graduate, Yes,2000000,6700000,12,633, Approved
3, Not Graduate, No,4900000,12900000,18,877, Approved
5, Not Graduate, Yes,9200000,23600000,12,656, Approved
0, Not Graduate, No,7500000,18200000,6,782, Approved
5, Not Graduate, No,9000000,29300000,4,531, Approved
3, Not Graduate, No,1400000,4100000,8,455, Rejected
3, Graduate, No,9600000,19900000,14,452, Rejected
2, Graduate, No,8400000,33200000,14,474, Rejected
3, Not Graduate, No,6400000,24400000,4,483, Approved
4, Graduate, No,5900000,16800000,8,481, Rejected
2, Graduate, Yes,2200000,5100000,20,859, Approved
4, Graduate, Yes,5600000,14100000,14,696, Approved
4, Not Graduate, No,9800000,28700000,6,778, Approved
4, Graduate, No,4400000,14600000,4,499, Approved
2, Not Graduate, Yes,2400000,4900000,4,888, Approved
1, Graduate, No,4400000,10800000,12,674, Approved
4, Graduate, No,3700000,13200000,4,802, Approved
4, Not Graduate, Yes,2300000,7800000,8,540, Rejected
4, Graduate, Yes,5900000,19600000,8,726, Approved
4, Not Graduate, Yes,6400000,23500000,2,485, Approved
4, Graduate, Yes,4900000,17100000,6,612, Approved
3, Not Graduate, Yes,9500000,24200000,8,879, Approved
2, Not Graduate, No,5700000,16400000,12,708, Approved
2, Not Graduate, Yes,2700000,5700000,8,850, Approved
2, Not Graduate, Yes,3900000,11300000,12,516, Rejected
0, Not Graduate, No,7800000,28800000,12,465, Rejected
0, Graduate, No,1100000,3200000,20,716, Approved
4, Not Graduate, No,200000,600000,10,404, Rejected
0, Not Graduate, Yes,4700000,10600000,20,512, Rejected
3, Not Graduate, Yes,8200000,20600000,10,441, Rejected
2, Not Graduate, Yes,4600000,18400000,2,555, Approved
5, Not Graduate, No,1800000,7000000,18,466, Rejected
3, Graduate, Yes,3200000,8600000,2,427, Rejected
4, Not Graduate, Yes,5500000,20000000,14,593, Approved
3, Graduate, No,7900000,18300000,10,731, Approved
1, Graduate, Yes,4000000,10100000,16,451, Rejected
3, Not Graduate, Yes,6800000,16900000,18,628, Approved
1, Not Graduate, No,2700000,9400000,18,704, Approved
2, Not Graduate, No,6800000,23500000,12,341, Rejected
5, Graduate, No,8600000,21000000,8,465, Rejected
4, Graduate, No,8000000,30100000,4,431, Approved
1, Graduate, Yes,3700000,12600000,10,424, Rejected
0, Graduate, No,2600000,5100000,14,678, Approved
4, Graduate, No,4200000,16800000,6,381, Rejected
5, Graduate, Yes,8000000,28000000,10,449, Rejected
1, Not Graduate, No,7100000,23500000,12,768, Approved
0, Not Graduate, No,2000000,7000000,6,666, Rejected
4, Not Graduate, Yes,5800000,13300000,14,742, Approved
3, Not Graduate, Yes,6700000,15800000,4,445, Rejected
2, Graduate, No,7300000,28700000,14,634, Approved
4, Not Graduate, No,3300000,9700000,14,782, Approved
0, Graduate, No,3000000,7000000,10,781, Approved
4, Not Graduate, No,7900000,17200000,14,318, Rejected
5, Not Graduate, No,7600000,24100000,18,721, Approved
5, Not Graduate, No,3700000,9800000,4,563, Approved
2, Not Graduate, No,8400000,26300000,4,419, Approved
0, Graduate, Yes,8200000,20800000,14,372, Rejected
0, Not Graduate, No,2900000,9500000,18,885, Approved
1, Not Graduate, Yes,9900000,38400000,12,596, Approved
0, Graduate, No,4400000,14100000,2,349, Approved
1, Not Graduate, Yes,9000000,32200000,16,468, Rejected
3, Not Graduate, Yes,6800000,26900000,16,818, Approved
2, Not Graduate, No,8700000,28000000,12,543, Rejected
3, Graduate, No,9400000,21900000,16,685, Approved
3, Not Graduate, Yes,6000000,12500000,18,851, Approved
1, Not Graduate, Yes,9400000,29800000,10,377, Rejected
0, Not Graduate, Yes,1000000,4000000,10,620, Approved
3, Graduate, Yes,900000,2300000,20,611, Approved
4, Not Graduate, No,2100000,7700000,4,767, Approved
5, Graduate, Yes,1100000,3200000,20,592, Approved
0, Graduate, Yes,600000,2300000,4,319, Approved
4, Not Graduate, Yes,9200000,25500000,10,900, Approved
2, Not Graduate, Yes,3600000,12800000,18,814, Approved
5, Not Graduate, Yes,1300000,5000000,10,755, Approved
5, Graduate, Yes,7700000,16800000,20,584, Approved
4, Graduate, Yes,9500000,23500000,14,380, Rejected
2, Not Graduate, Yes,5000000,17600000,20,465, Rejected
0, Not Graduate, No,500000,1800000,2,531, Approved
1, Graduate, Yes,8300000,32100000,16,814, Approved
0, Graduate, No,5300000,17900000,6,678, Approved
2, Not Graduate, Yes,9300000,29000000,12,655, Approved
3, Not Graduate, No,2300000,7400000,2,682, Approved
1, Not Graduate, No,400000,1300000,6,695, Approved
3, Not Graduate, No,3200000,10800000,4,833, Approved
5, Not Graduate, Yes,9400000,35300000,16,302, Rejected
1, Graduate, No,2300000,6600000,2,357, Rejected
5, Not Graduate, No,4300000,14500000,12,302, Rejected
0, Graduate, Yes,6200000,22400000,18,873, Approved
0, Not Graduate, Yes,7200000,19800000,12,658, Approved
5, Graduate, Yes,2400000,8700000,18,877, Approved
3, Not Graduate, No,2900000,6300000,8,648, Approved
1, Graduate, No,1400000,5200000,12,730, Approved
4, Not Graduate, Yes,2200000,8200000,14,737, Approved
2, Graduate, Yes,800000,3200000,10,584, Rejected
0, Graduate, No,600000,1700000,2,621, Approved
4, Graduate, Yes,700000,2700000,16,583, Approved
2, Not Graduate, No,8400000,25900000,16,621, Approved
2, Not Graduate, No,7100000,21500000,16,610, Approved
4, Graduate, No,5400000,15700000,18,452, Rejected
5, Graduate, No,3700000,7300000,18,339, Rejected
3, Graduate, Yes,5200000,15200000,16,650, Approved
4, Not Graduate, Yes,200000,700000,10,672, Approved
3, Graduate, No,500000,1000000,20,501, Rejected
2, Not Graduate, Yes,1800000,5700000,4,809, Approved
5, Graduate, Yes,9200000,29400000,8,318, Rejected
4, Not Graduate, No,900000,3300000,10,649, Approved
3, Not Graduate, No,7500000,28300000,12,367, Rejected
5, Not Graduate, No,3000000,11800000,6,847, Approved
5, Graduate, No,7100000,18900000,12,360, Rejected
1, Graduate, Yes,3500000,7200000,2,865, Approved
4, Not Graduate, No,4900000,18800000,16,880, Approved
1, Graduate, No,4100000,8400000,20,608, Approved
0, Graduate, Yes,800000,2100000,6,760, Approved
3, Graduate, Yes,1700000,4600000,12,385, Rejected
0, Graduate, Yes,6100000,23300000,12,478, Rejected
1, Graduate, Yes,2100000,7700000,16,327, Rejected
0, Graduate, No,3100000,9300000,6,663, Approved
2, Not Graduate, Yes,1700000,3500000,20,693, Approved
3, Graduate, No,1700000,5400000,6,710, Approved
4, Not Graduate, Yes,4000000,14500000,6,711, Approved
5, Graduate, No,5600000,18400000,8,386, Rejected
4, Graduate, Yes,3900000,11900000,10,855, Approved
4, Graduate, Yes,6100000,15300000,14,573, Approved
0, Graduate, Yes,1100000,2800000,18,431, Rejected
2, Graduate, No,5500000,14800000,8,364, Rejected
4, Graduate, Yes,1100000,3600000,14,711, Approved
4, Not Graduate, Yes,400000,900000,20,771, Approved
3, Graduate, No,9200000,36400000,18,669, Approved
4, Not Graduate, Yes,9300000,27500000,18,338, Rejected
1, Graduate, No,1100000,3500000,8,562, Approved
3, Not Graduate, No,5600000,18700000,2,769, Approved
0, Graduate, Yes,6300000,21500000,8,629, Approved
3, Graduate, No,8800000,18100000,6,699, Approved
0, Not Graduate, No,8400000,20800000,20,590, Approved
3, Graduate, Yes,1600000,5700000,4,707, Approved
3, Not Graduate, Yes,4500000,11400000,8,391, Rejected
5, Not Graduate, No,6500000,18500000,4,891, Approved
3, Graduate, Yes,9500000,20600000,2,731, Approved
3, Not Graduate, No,4700000,16700000,12,775, Approved
5, Graduate, Yes,9600000,32400000,2,897, Approved
5, Graduate, No,8000000,26700000,20,794, Approved
2, Graduate, No,7700000,16700000,6,555, Approved
1, Not Graduate, Yes,3600000,10300000,12,536, Rejected
2, Not Graduate, No,700000,1700000,10,839, Approved
0, Graduate, Yes,1400000,5100000,6,890, Approved
1, Graduate, Yes,8600000,27900000,20,415, Rejected
4, Graduate, No,4700000,15700000,4,868, Approved
3, Graduate, Yes,2900000,5800000,12,353, Rejected
4, Not Graduate, No,9000000,29000000,16,590, Approved
5, Graduate, Yes,500000,900000,18,618, Approved
2, Not Graduate, Yes,700000,1700000,10,539, Rejected
0, Graduate, No,6800000,27000000,4,429, Approved
2, Graduate, No,1800000,4700000,8,792, Approved
0, Not Graduate, No,6000000,12400000,2,608, Approved
4, Graduate, Yes,5400000,21500000,14,555, Approved
5, Graduate, Yes,8400000,17500000,12,620, Approved
0, Graduate, No,7400000,20900000,6,635, Approved
2, Graduate, No,3200000,12500000,10,457, Rejected
1, Graduate, Yes,5400000,21400000,8,350, Rejected
5, Graduate, Yes,1000000,2500000,14,885, Approved
0, Graduate, No,4400000,14700000,16,638, Approved
1, Graduate, Yes,3800000,10500000,12,710, Approved
3, Not Graduate, Yes,6100000,20900000,18,470, Rejected
5, Not Graduate, Yes,5500000,17300000,16,874, Approved
5, Not Graduate, Yes,500000,1800000,18,411, Rejected
0, Not Graduate, Yes,300000,1100000,2,482, Approved
1, Graduate, Yes,6200000,16900000,2,396, Rejected
0, Not Graduate, No,300000,900000,20,436, Rejected
0, Not Graduate, Yes,6900000,22100000,20,303, Rejected
4, Graduate, No,3700000,11400000,12,728, Approved
3, Not Graduate, Yes,8800000,28600000,10,775, Approved
5, Graduate, Yes,8200000,23500000,12,402, Rejected
1, Not Graduate, Yes,9200000,31500000,18,698, Approved
0, Not Graduate, No,2400000,7800000,14,665, Approved
4, Not Graduate, No,4100000,13500000,18,490, Rejected
1, Graduate, No,8000000,31900000,12,504, Rejected
3, Not Graduate, Yes,3600000,8600000,8,790, Approved
1, Not Graduate, Yes,700000,2700000,20,669, Approved
4, Not Graduate, No,8300000,30700000,6,381, Rejected
0, Graduate, Yes,5300000,15000000,2,900, Approved
4, Graduate, No,8300000,24900000,16,506, Rejected
3, Not Graduate, Yes,2500000,8800000,12,538, Rejected
3, Graduate, Yes,5400000,14400000,8,677, Approved
4, Graduate, No,1600000,4900000,8,685, Approved
2, Not Graduate, No,2400000,6200000,12,860, Approved
5, Not Graduate, No,6300000,14800000,6,608, Approved
4, Graduate, Yes,2500000,5300000,10,540, Rejected
0, Graduate, Yes,7500000,16800000,16,492, Rejected
3, Not Graduate, No,2900000,8500000,14,834, Approved
3, Graduate, Yes,1000000,3500000,16,834, Approved
2, Graduate, Yes,8600000,28800000,8,890, Approved
1, Not Graduate, No,300000,1100000,12,443, Rejected
5, Not Graduate, No,2300000,5700000,18,329, Rejected
2, Not Graduate, Yes,2400000,5400000,12,739, Approved
5, Graduate, Yes,9800000,30300000,6,867, Approved
2, Not Graduate, No,8100000,24800000,6,307, Rejected
3, Graduate, No,6700000,15500000,18,492, Rejected
1, Not Graduate, Yes,8400000,24700000,18,698, Approved
2, Graduate, No,200000,700000,8,851, Approved
2, Graduate, No,4700000,12500000,14,375, Rejected
0, Graduate, Yes,4300000,14300000,14,601, Approved
4, Not Graduate, No,2200000,7000000,20,756, Approved
4, Graduate, Yes,8600000,19200000,4,868, Approved
4, Graduate, Yes,2000000,7200000,10,838, Approved
4, Not Graduate, Yes,4200000,15900000,14,375, Rejected
0, Not Graduate, Yes,5100000,12500000,18,778, Approved
2, Graduate, Yes,4100000,11200000,6,442, Rejected
